review,rating,date,bank,source
"Use it only for Amazon purchases with the Amazon credit card. I love it cause it is convenient and easy to use. customer service is helpful too, so stress less.",5,2025-05-30,Chase,Google Play Store
Chase fraud alert lost my preorder of a high-demand item. Your Artificial Intelligence is really just Artificial Stupidity that you're not accountable for. Give me an option to disable.,1,2025-05-30,Chase,Google Play Store
The ease of use is very much appreciated.,5,2025-05-30,Chase,Google Play Store
This app is great for my credit cards,5,2025-05-30,Chase,Google Play Store
I like it's easy to read the app,5,2025-05-30,Chase,Google Play Store
I think the UI update for card holders is a general improvement to ease of use.,4,2025-05-30,Chase,Google Play Store
user friendly,5,2025-05-30,Chase,Google Play Store
"it's my amazon prime card but I really like it,has alot of offers and if I use it for gas/restaurants I get like 3 points witch adds to my prime and can use to buy things with.considering getting a regular chase card for points.good credit card.i use the app to pay the bill and its easy to navigate also offers a fico credit score for free,can't beat that.",5,2025-05-30,Chase,Google Play Store
love chase,5,2025-05-30,Chase,Google Play Store
Excellent service every day.,5,2025-05-30,Chase,Google Play Store
they are heavily invested in fossil fuels :(,1,2025-05-30,Chase,Google Play Store
great app,5,2025-05-30,Chase,Google Play Store
great,5,2025-05-30,Chase,Google Play Store
Easy to navigate and use,5,2025-05-30,Chase,Google Play Store
chase has been real good.,5,2025-05-30,Chase,Google Play Store
excellent,5,2025-05-30,Chase,Google Play Store
trusted reliable card excellent for use at Amazon,5,2025-05-30,Chase,Google Play Store
constantly has issue's ordering things on Amazon,1,2025-05-30,Chase,Google Play Store
The credit calculator is real cool on this app,5,2025-05-30,Chase,Google Play Store
Awesome!,5,2025-05-30,Chase,Google Play Store
I find their interface easy to use your credit score and information very well presented fairly natural to follow,5,2025-05-30,Chase,Google Play Store
good,4,2025-05-30,Chase,Google Play Store
Boomskies,5,2025-05-30,Chase,Google Play Store
I haven't had any issues that JP Morgan Chase Bank hasn't assisted me with yet.,5,2025-05-30,Chase,Google Play Store
Great experience with Chase,5,2025-05-30,Chase,Google Play Store
good,5,2025-05-29,Chase,Google Play Store
awesome,5,2025-05-29,Chase,Google Play Store
Excellent,5,2025-05-29,Chase,Google Play Store
A great travel and everyday card.,5,2025-05-29,Chase,Google Play Store
"great app, great service. thank you",5,2025-05-29,Chase,Google Play Store
Very Happy With My Service,5,2025-05-29,Chase,Google Play Store
I felt my issue was immediate and Chase put me at ease while solving the issue.,5,2025-05-29,Chase,Google Play Store
Excellent platform for Chase related banking/credit. Functions as it should.,5,2025-05-29,Chase,Google Play Store
I always pay my bill!!!!!! always on time!!!!!!! one time I didn't notice my automatic bill payer was going to pay one day late I got charged a late fee!!! this was so petty. they never reward me if I pay it early!!!,1,2025-05-29,Chase,Google Play Store
too many requests to rate the app,3,2025-05-29,Chase,Google Play Store
awesome,5,2025-05-29,Chase,Google Play Store
I have trusted Zelle for excellent service for many years.,5,2025-05-29,Chase,Google Play Store
I love this!,5,2025-05-29,Chase,Google Play Store
I'm done with chase bank completely. Nothing works either on the app or website. Next week I'm closing ALL my accounts and getting a new bank.,1,2025-05-29,Chase,Google Play Store
The app was much simpler for making payments than logging in on line.,5,2025-05-29,Chase,Google Play Store
"Great Service , good rewards",5,2025-05-29,Chase,Google Play Store
good,4,2025-05-29,Chase,Google Play Store
"Easy to use app, with all you may need and perhaps much more...",5,2025-05-29,Chase,Google Play Store
great,5,2025-05-29,Chase,Google Play Store
Awesome app.,5,2025-05-29,Chase,Google Play Store
Great Service,5,2025-05-29,Chase,Google Play Store
A+Perfect!!!,5,2025-05-29,Chase,Google Play Store
okay so I'm not the biggest fan of Chase however I will say absolutely do love the website and I think the people almost every time are delightful. but the app I like I really like,5,2025-05-29,Chase,Google Play Store
I love spending your money.,5,2025-05-29,Chase,Google Play Store
works well,5,2025-05-29,Chase,Google Play Store
love my card. have had no issues at all,5,2025-05-29,Chase,Google Play Store
Very happy! Chase really tries hard.,5,2025-05-29,Chase,Google Play Store
Great option to be able to lock and unlock your card,5,2025-05-29,Chase,Google Play Store
love the payment options,5,2025-05-29,Chase,Google Play Store
Great card for overseas travel,4,2025-05-29,Chase,Google Play Store
